"name","artists","album","release_date"
"Cold Heart - PNAU Remix                           ","""Elton John                                       ","Dua Lipa                                          ",
"Don't Start Now                                   ","Dua Lipa                                          ","Don't Start Now                                   ","2019-10-31"
"Levitating (feat. DaBaby)                         ","""Dua Lipa                                         ","DaBaby""                                           ",
"New Rules                                         ","Dua Lipa                                          ","Dua Lipa (Deluxe)                                 ","2017-06-02"
"Potion (with Dua Lipa & Young Thug)               ","""Calvin Harris                                    ","Dua Lipa                                          ",
"Sweetest Pie                                      ","""Megan Thee Stallion                              ","Dua Lipa""                                         ",
"One Kiss (with Dua Lipa)                          ","""Calvin Harris                                    ","Dua Lipa""                                         ",
"Electricity (with Dua Lipa)                       ","""Silk City                                        ","Dua Lipa                                          ",
"No Lie                                            ","""Sean Paul                                        ","Dua Lipa""                                         ",
"Be the One                                        ","Dua Lipa                                          ","Dua Lipa (Deluxe)                                 ","2017-06-02"
"Hotter Than Hell                                  ","Dua Lipa                                          ","Dua Lipa (Deluxe)                                 ","2017-06-02"
"Break My Heart                                    ","Dua Lipa                                          ","Future Nostalgia                                  ","2020-03-27"
"Pretty Please                                     ","Dua Lipa                                          ","Future Nostalgia                                  ","2020-03-27"
"Fever - Feder Remix                               ","""Dua Lipa                                         ","Angèle                                            ",
"Hallucinate                                       ","Dua Lipa                                          ","Future Nostalgia                                  ","2020-03-27"
"Don't Start Now - Purple Disco Machine Remix      ","""Dua Lipa                                         ","Purple Disco Machine""                             ",
"Physical (feat. Gwen Stefani) [Mark Ronson Remix] ","""Dua Lipa                                         ","The Blessed Madonna                               ",
"Break My Heart / Cosmic Girl (Dimitri From Paris E","""Dua Lipa                                         ","The Blessed Madonna                               ",
"Future Nostalgia (Joe Goddard Remix) [Mixed]      ","""Dua Lipa                                         ","The Blessed Madonna                               ",
"Cool                                              ","Dua Lipa                                          ","Future Nostalgia                                  ","2020-03-27"
"Physical                                          ","Dua Lipa                                          ","Future Nostalgia                                  ","2020-03-27"
"Un Día (One Day)                                  ","""J Balvin                                         ","Dua Lipa                                          ",
"IDGAF                                             ","Dua Lipa                                          ","Dua Lipa (Deluxe)                                 ","2017-06-02"
"Blow Your Mind (Mwah)                             ","Dua Lipa                                          ","Blow Your Mind (Mwah)                             ","2016-08-26"
"One Kiss (with Dua Lipa) - Oliver Heldens Remix   ","""Calvin Harris                                    ","Dua Lipa                                          ",
"Prisoner (feat. Dua Lipa)                         ","""Miley Cyrus                                      ","Dua Lipa""                                         ",
"Boys Will Be Boys (Zach Witness Remix) [Mixed]    ","""Dua Lipa                                         ","The Blessed Madonna                               ",
"Fever                                             ","""Dua Lipa                                         ","Angèle""                                           ",
"Future Nostalgia                                  ","Dua Lipa                                          ","Future Nostalgia                                  ","2020-03-27"
"We're Good                                        ","Dua Lipa                                          ","Future Nostalgia (The Moonlight Edition)          ","2021-02-11"
"Scared to Be Lonely - Acoustic Version            ","""Martin Garrix                                    ","Dua Lipa""                                         ",
